Ticker;Security;GICS Sector;GICS Sub-Industry;Headquarters Location;Date added;CIK;Founded
AAPL;Apple Inc.;Information Technology;Technology Hardware, Storage & Peripherals;Cupertino, California;1982-11-30;320193;1977
MSFT;Microsoft;Information Technology;Systems Software;Redmond, Washington;1994-06-01;789019;1975
AMZN;Amazon;Consumer Discretionary;Internet & Direct Marketing Retail;Seattle, Washington;2005-11-18;1018724;1994
NVDA;Nvidia;Information Technology;Semiconductors;Santa Clara, California;2001-11-30;1045810;1993
GOOGL;Alphabet Inc. (Class A);Communication Services;Interactive Media & Services;Mountain View, California;2014-04-03;1652044;1998
TSLA;Tesla, Inc.;Consumer Discretionary;Automobile Manufacturers;Austin, Texas;2020-12-21;1318605;2003
META;Meta Platforms;Communication Services;Interactive Media & Services;Menlo Park, California;2013-12-23;1326801;2004
GOOG;Alphabet Inc. (Class C);Communication Services;Interactive Media & Services;Mountain View, California;2006-04-03;1652044;1998
UNH;UnitedHealth Group;Health Care;Managed Health Care;Minnetonka, Minnesota;1994-07-01;731766;1977
XOM;ExxonMobil;Energy;Integrated Oil & Gas;Irving, Texas;1957-03-04;34088;1999
