Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-08-11,319.6941249302455,351.03668619791665,300.88858816964284,329.0968933105469,792528,0.0,0.0
2000-08-14,328.31335401535034,329.0969181060791,300.88861083984375,300.88861083984375,80228,0.0,0.0
2000-08-15,304.8064217321652,310.2913701952118,300.88860140141753,304.0228576660156,48422,0.0,0.0
2000-08-16,302.4557408804845,327.529791937934,302.4557408804845,310.2913818359375,42166,0.0,0.0
2000-08-17,307.1571235656738,313.4256362915039,299.32148265838623,300.88861083984375,47247,0.0,0.0
2000-08-18,314.2091127087455,360.439381162152,310.29129334828735,358.87225341796875,60400,0.0,0.0
2000-08-21,377.6778170110758,407.45324656796555,349.4695153256012,380.81207275390625,66547,0.0,0.0
2000-08-22,385.51350657145184,393.34914694892035,338.4996643066406,338.4996643066406,33878,0.0,0.0
2000-08-23,340.06673578115607,344.7681192251352,319.6940741905799,325.96258544921875,17925,0.0,0.0
2000-08-24,324.3955120817985,327.5297682371782,302.4557189941406,302.4557189941406,18441,0.0,0.0
2000-08-25,314.9926695592195,324.3954358147186,304.02277559447055,322.82830810546875,20113,0.0,0.0
2000-08-28,336.1489695957729,339.67500773838583,313.4256126767113,329.0968933105469,19491,0.0,0.0
2000-08-29,336.93254559953635,338.49967371860396,316.5598800516574,335.36541748046875,22728,0.0,0.0
2000-08-30,334.5818389354823,368.27509203671354,332.23114685865227,355.7380676269531,19891,0.0,0.0
2000-08-31,377.67775063533117,413.7216853432673,372.97636784733953,405.88604736328125,87397,0.0,0.0
2000-09-01,404.3189653669085,407.4532209123884,376.11066545758933,394.91619873046875,27738,0.0,0.0
2000-09-05,396.4834173118254,407.4533142334965,388.64777665348896,390.21490478515625,23025,0.0,0.0
2000-09-06,404.31901525682014,407.45327118904356,382.3792237312563,388.6477355957031,20559,0.0,0.0
2000-09-07,401.18471467391305,401.18471467391305,335.36534742272414,360.43939208984375,23959,0.0,0.0
2000-09-08,357.6968519347055,363.57358006068637,344.76805005754744,351.03656005859375,15956,0.0,0.0
2000-09-11,346.335246455562,351.03662989161035,338.4996073954814,347.9023742675781,34547,0.0,0.0
2000-09-12,340.85029968848596,346.3352470397949,322.82832981989935,325.96258544921875,33853,0.0,0.0
2000-09-13,319.6940789794922,329.0968460083008,310.2913119506836,313.4255676269531,10363,0.0,0.0
2000-09-14,347.90244898302797,347.90244898302797,313.42562971443965,318.12701416015625,8109,0.0,0.0
2000-09-15,314.99273681640625,325.9626331234453,313.42560877254357,314.99273681640625,3600,0.0,0.0
2000-09-18,329.096896314868,332.2311524702477,299.3214628387609,302.4557189941406,18659,0.0,0.0
2000-09-19,328.3132430182563,329.0968068440755,269.5459560818142,282.0829772949219,48038,0.0,0.0
2000-09-20,288.3515875023532,289.91871569530076,244.47199809982118,260.1432800292969,24103,0.0,0.0
2000-09-21,258.5761332792394,269.5460298426011,255.44187711827894,266.4117736816406,25247,0.0,0.0
2000-09-22,240.5541230150934,271.113115841115,236.6363034220137,264.8446044921875,8456,0.0,0.0
2000-09-25,266.4118219842974,271.1132070781379,235.0692546920271,236.63638305664062,21066,0.0,0.0
2000-09-26,247.606248597841,249.17337675352354,225.66645441828547,231.93496704101562,19634,0.0,0.0
2000-09-27,235.8527265057516,236.636290381186,216.26362961989184,234.2855987548828,16756,0.0,0.0
2000-09-28,231.9349708557129,269.54604721069336,228.80071449279785,250.74050903320312,22041,0.0,0.0
2000-09-29,253.09117744338346,253.87474146023604,218.6143607018699,222.5321807861328,19125,0.0,0.0
2000-10-02,235.069185144761,235.85274909524355,209.99513872931985,213.12939453125,6888,0.0,0.0
2000-10-03,215.480097072331,222.5321729765164,194.32386935977487,199.02525329589844,10128,0.0,0.0
2000-10-04,200.59234512061403,202.15947281686883,169.2497911955181,178.65255737304688,14600,0.0,0.0
2000-10-05,173.95121503557476,203.72664823986233,162.98131859188987,164.54844665527344,15178,0.0,0.0
2000-10-06,174.3429410885542,175.5182867588141,148.8771182329227,152.79493713378906,11413,0.0,0.0
2000-10-09,164.5484600645123,167.6827164466935,144.9593576758799,155.14569091796875,10650,0.0,0.0
2000-10-10,158.27988811115642,159.84701571621738,137.90722924536402,142.60861206054688,13291,0.0,0.0
2000-10-11,131.63873568448153,144.17575813062263,101.86330737489642,103.43043518066406,42488,0.0,0.0
