Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-06-28,3.269777838990496,3.623267499098909,3.24768445079391,3.5348947048187256,7850250,0.0,0.0
1996-07-01,3.4907096706174645,3.5790821105480166,3.4907096706174645,3.5569887161254883,663750,0.0,0.0
1996-07-02,3.5128008351162365,3.667452222382209,3.5128008351162365,3.6232662200927734,1340100,0.0,0.0
1996-07-03,3.6453583846919173,3.6453583846919173,3.51280039445237,3.5790793895721436,660600,0.0,0.0
1996-07-05,3.512800693511963,3.512800693511963,3.4244283132425175,3.512800693511963,502650,0.0,0.0
1996-07-08,3.534895968284042,3.534895968284042,3.2697790076959987,3.291872024536133,584550,0.0,0.0
1996-07-09,3.3139644127240526,3.3581500537125337,3.26977801322937,3.26977801322937,238500,0.0,0.0
1996-07-10,3.2697767163679172,3.291869717726164,3.1372177600860596,3.1372177600860596,520200,0.0,0.0
1996-07-11,3.093031375016269,3.093031375016269,2.9383792658301346,3.048844814300537,192600,0.0,0.0
1996-07-12,3.048845160715226,3.093031726451507,3.048845160715226,3.0709383487701416,49500,0.0,0.0
1996-07-15,3.048844814300537,3.1372169875998592,3.048844814300537,3.048844814300537,342900,0.0,0.0
1996-07-16,3.0267539621600013,3.0267539621600013,2.739542969515502,2.7837295532226562,350550,0.0,0.0
1996-07-17,2.827915858372586,3.070939295238841,2.827915858372586,3.0267536640167236,181800,0.0,0.0
1996-07-18,3.0046602795261395,3.0267536640167236,3.0046602795261395,3.0267536640167236,8100,0.0,0.0
1996-07-19,3.0267523872615985,3.048844814300537,3.0267523872615985,3.048844814300537,33750,0.0,0.0
1996-07-22,3.0930333137512207,3.1372189540306796,3.0709399247318494,3.0930333137512207,206100,0.0,0.0
1996-07-23,3.1151254719165586,3.1151254719165586,3.0046598911285396,3.00465989112854,11700,0.0,0.0
1996-07-24,3.0046602795261395,3.0267536640167236,2.9604738897979885,3.0267536640167236,54450,0.0,0.0
1996-07-25,3.0267527311661104,3.0709383487701416,3.0267527311661104,3.0709383487701416,46350,0.0,0.0
1996-07-26,3.0930333137512207,3.0930333137512207,3.0930333137512207,3.0930333137512207,22500,0.0,0.0
1996-07-29,3.1151260108545182,3.247684048078239,3.1151260108545182,3.2255914211273193,79200,0.0,0.0
1996-07-30,3.225591946525243,3.3581500053405766,3.203498936722688,3.358150005340576,212400,0.0,0.0
1996-07-31,3.358149874764519,3.5569877137622314,3.358149874764519,3.5348947048187256,257400,0.0,0.0
1996-08-01,3.5348960138068124,3.5348960138068124,3.468616962432861,3.4686169624328613,30150,0.0,0.0
1996-08-02,3.5348937151925846,3.5348937151925846,3.424428701400757,3.424428701400757,90000,0.0,0.0
1996-08-05,3.4686153443170338,3.5128017372065172,3.4686153443170338,3.490708351135254,25650,0.0,0.0
1996-08-06,3.5128033759353827,3.5128033759353827,3.468616962432861,3.4686169624328613,89100,0.0,0.0
1996-08-07,3.4244298425811075,3.4244298425811075,3.26977801322937,3.26977801322937,71550,0.0,0.0
1996-08-08,3.247681617736816,3.269774986660646,3.225589007318485,3.2476816177368164,233100,0.0,0.0
1996-08-09,3.2918711175451896,3.402336929816262,3.2918711175451896,3.3802435398101807,70650,0.0,0.0
1996-08-12,3.380243683335616,3.4023370742797847,3.380243683335616,3.402337074279785,4950,0.0,0.0
1996-08-13,3.380243394396227,3.4023367834518776,3.3581500053405766,3.358150005340576,114750,0.0,0.0
1996-08-14,3.3581502923914477,3.4023370742797847,3.3581502923914477,3.402337074279785,40050,0.0,0.0
1996-08-15,3.4244298434158646,3.468615863668217,3.4244298434158646,3.4465224742889404,252000,0.0,0.0
1996-08-16,3.4686153443170338,3.490708351135254,3.4465219582457705,3.490708351135254,12150,0.0,0.0
1996-08-19,3.446521324906148,3.446521324906148,3.424428701400757,3.424428701400757,234900,0.0,0.0
1996-08-20,3.4244298434158646,3.468615863668217,3.4244298434158646,3.4465224742889404,21150,0.0,0.0
1996-08-21,3.44652247428894,3.44652247428894,3.44652247428894,3.4465224742889404,0,0.0,0.0
1996-08-22,3.468615863668217,3.468615863668217,3.44652247428894,3.4465224742889404,13050,0.0,0.0
1996-08-23,3.446521324906148,3.4686147069174877,3.424428701400757,3.424428701400757,71550,0.0,0.0
1996-08-26,3.424428701400757,3.424428701400757,3.424428701400757,3.424428701400757,0,0.0,0.0
1996-08-27,3.4244298434158646,3.44652247428894,3.4244298434158646,3.4465224742889404,11250,0.0,0.0
1996-08-28,3.468615317735109,3.601174116134644,3.468615317735109,3.6011741161346436,56700,0.0,0.0
1996-08-29,3.6011730737814083,3.6011730737814083,3.512800693511963,3.512800693511963,326250,0.0,0.0
1996-08-30,3.534893013572729,3.5790793895721436,3.534893013572729,3.5790793895721436,47700,0.0,0.0
1996-09-03,3.5348943647716933,3.5348943647716933,3.4686153443170338,3.490708351135254,240750,0.0,0.0
1996-09-04,3.44652247428894,3.44652247428894,3.44652247428894,3.4465224742889404,51300,0.0,0.0
1996-09-05,3.4686156779882085,3.5348947048187256,3.4686156779882085,3.5348947048187256,92700,0.0,0.0
1996-09-06,3.4907086869317143,3.5348947048187256,3.4907086869317143,3.5348947048187256,222750,0.0,0.0
1996-09-09,3.5348947048187256,3.5348947048187256,3.5128020751283002,3.5348947048187256,42750,0.0,0.0
1996-09-10,3.5348947048187256,3.5348947048187256,3.5348947048187256,3.5348947048187256,8100,0.0,0.0
1996-09-11,3.5128017372065172,3.5128017372065172,3.490708351135254,3.490708351135254,2250,0.0,0.0
1996-09-12,3.468616962432861,3.4907099795575114,3.4465235660549896,3.4686169624328613,4950,0.0,0.0
1996-09-13,3.468616962432861,3.4907099795575114,3.468616962432861,3.4686169624328613,6750,0.0,0.0
1996-09-16,3.4465235660549896,3.468616962432861,3.4465235660549896,3.4686169624328613,6750,0.0,0.0
1996-09-17,3.4465235660549896,3.4907099795575114,3.4465235660549896,3.4686169624328613,22050,0.0,0.0
1996-09-18,3.4465219582457705,3.490708351135254,3.4465219582457705,3.490708351135254,11700,0.0,0.0
1996-09-19,3.468615863668217,3.4907088737943934,3.44652247428894,3.4465224742889404,93600,0.0,0.0
1996-09-20,3.468615863668217,3.5128022631736706,3.44652247428894,3.4465224742889404,79650,0.0,0.0
1996-09-23,3.4465222897916226,3.5348947048187256,3.4465222897916226,3.5348947048187256,76500,0.0,0.0
1996-09-24,3.5348943647716933,3.5348943647716933,3.490708351135254,3.490708351135254,4950,0.0,0.0
1996-09-25,3.4686153443170338,3.490708351135254,3.4686153443170338,3.490708351135254,9450,0.0,0.0
1996-09-26,3.468615863668217,3.4907088737943934,3.44652247428894,3.4465224742889404,113850,0.0,0.0
1996-09-27,3.468616109352908,3.468616109352908,3.4023370742797847,3.402337074279785,406350,0.0,0.0
1996-09-30,3.402336929816262,3.402336929816262,3.3802435398101807,3.3802435398101807,2250,0.0,0.0
1996-10-01,3.3802435398101807,3.402336929816262,3.2918711175451896,3.3802435398101807,54900,0.0,0.0
1996-10-02,3.402336833289688,3.44652247428894,3.402336833289688,3.4465224742889404,15750,0.0,0.0
1996-10-03,3.4465222897916226,3.5569877137622314,3.4465222897916226,3.5348947048187256,51300,0.0,0.0
1996-10-04,3.556986458152726,3.623266220092773,3.534893457008008,3.6232662200927734,392400,0.0,0.0
1996-10-07,3.6011751521137016,3.7116405963897705,3.579081759855968,3.7116405963897705,72900,0.0,0.0
1996-10-08,3.6895450747979224,3.6895450747979224,3.490707314004903,3.512800693511963,342450,0.0,0.0
1996-10-09,3.512803065039993,3.5569887161254883,3.4907096706174645,3.5569887161254883,560700,0.0,0.0
1996-10-10,3.556986458152726,3.623266220092773,3.556986458152726,3.6232662200927734,58050,0.0,0.0
1996-10-11,3.623266220092773,3.623266220092773,3.601173218948055,3.6232662200927734,223200,0.0,0.0
1996-10-14,3.601174116134644,3.601174116134644,3.579080730232694,3.6011741161346436,24300,0.0,0.0
1996-10-15,3.601173218948055,3.623266220092773,3.601173218948055,3.6232662200927734,14850,0.0,0.0
1996-10-16,3.6453588419845446,3.6453588419845446,3.623266220092773,3.6232662200927734,10350,0.0,0.0
1996-10-17,3.6232673641135955,3.667453380354451,3.6232673641135955,3.645359992980957,52650,0.0,0.0
1996-10-18,3.6453601484405356,3.8441979885101314,3.6453601484405356,3.844197988510132,57600,0.0,0.0
1996-10-21,3.8000123175583367,4.043035794448455,3.777918929429163,4.0209431648254395,103500,0.0,0.0
1996-10-22,3.9767546092020636,4.065126975990206,3.9104756185506115,4.043033599853516,44100,0.0,0.0
1996-10-23,4.043035417185574,4.087221810067731,4.020942789624061,4.065128803253174,53550,0.0,0.0
1996-10-24,4.087222008216536,4.109315395355225,4.065129000330908,4.109315395355225,9900,0.0,0.0
1996-10-25,4.1314080258871755,4.263966831768005,4.1314080258871755,4.153501033782959,39150,0.0,0.0
1996-10-28,4.175594420931806,4.219780815976436,4.153501033782959,4.153501033782959,110250,0.0,0.0
1996-10-29,4.153501033782959,4.153501033782959,4.153501033782959,4.153501033782959,18000,0.0,0.0
1996-10-30,4.131407463962119,4.175593852996826,4.131407463962119,4.175593852996826,57600,0.0,0.0
1996-10-31,4.175592835282853,4.2418718338012695,4.153499456523795,4.2418718338012695,42750,0.0,0.0
1996-11-01,4.263965212560327,4.263965212560327,4.219779213548049,4.2418718338012695,110250,0.0,0.0
1996-11-04,4.2418718338012695,4.263965212560327,4.2418718338012695,4.2418718338012695,111600,0.0,0.0
1996-11-05,4.241874597720581,4.263967990875244,4.241874597720581,4.263967990875244,76500,0.0,0.0
1996-11-06,4.263967415752056,4.330246448516846,4.263967415752056,4.330246448516846,41850,0.0,0.0
1996-11-07,4.330245780727284,4.330245780727284,4.286059765698244,4.30815315246582,25650,0.0,0.0
1996-11-08,4.286059839663788,4.286059839663788,4.153501033782959,4.153501033782959,14400,0.0,0.0
1996-11-11,4.153501033782959,4.175594420931806,4.153501033782959,4.153501033782959,49500,0.0,0.0
1996-11-12,4.175593852996826,4.175593852996826,4.175593852996826,4.175593852996826,11250,0.0,0.0
1996-11-13,4.153501031873416,4.153501031873416,4.109315395355225,4.109315395355225,5850,0.0,0.0
1996-11-14,4.087222576141357,4.109315966349952,4.087222576141357,4.087222576141357,4500,0.0,0.0
1996-11-15,4.109315395355225,4.109315395355225,4.109315395355225,4.109315395355225,1350,0.0,0.0
1996-11-18,4.109315395355225,4.109315395355225,4.109315395355225,4.109315395355225,0,0.0,0.0
1996-11-19,4.109315395355225,4.109315395355225,4.109315395355225,4.109315395355225,2250,0.0,0.0
1996-11-20,4.109315395355225,4.109315395355225,4.109315395355225,4.109315395355225,41850,0.0,0.0
1996-11-21,4.087221725022228,4.131407737731934,4.087221725022228,4.131407737731934,11250,0.0,0.0
1996-11-22,4.131408023987789,4.131408023987789,4.109315395355225,4.109315395355225,101700,0.0,0.0
1996-11-25,4.109315110630116,4.1976875153025635,4.109315110630116,4.131407737731934,102150,0.0,0.0
1996-11-26,4.153500468852967,4.175593852996826,4.153500468852967,4.175593852996826,5850,0.0,0.0
1996-11-27,4.1314080258871755,4.153501033782959,4.1314080258871755,4.153501033782959,10350,0.0,0.0
1996-11-29,4.175594420931806,4.175594420931806,4.153501033782959,4.153501033782959,4050,0.0,0.0
1996-12-02,3.8883826732635494,3.8883826732635494,3.8883826732635494,3.88838267326355,74700,0.0,0.0
1996-12-03,3.844198568048341,3.844198568048341,3.77791953086853,3.7779195308685303,22050,0.0,0.0
1996-12-04,3.800012961949278,3.866291999816895,3.800012961949278,3.8662919998168945,43650,0.0,0.0
1996-12-05,3.8221053587006106,3.888384385888421,3.7779189613223214,3.844197988510132,255150,0.0,0.0
1996-12-06,3.8441979885101314,3.8441979885101314,3.8441979885101314,3.844197988510132,1350,0.0,0.0
1996-12-09,3.888384385888421,3.888384385888421,3.8441979885101314,3.844197988510132,147600,0.0,0.0
1996-12-10,3.8441979885101314,3.8441979885101314,3.8441979885101314,3.844197988510132,0,0.0,0.0
1996-12-11,3.8441979885101314,3.8441979885101314,3.8441979885101314,3.844197988510132,2250,0.0,0.0
1996-12-12,3.8441979885101314,3.8441979885101314,3.8441979885101314,3.844197988510132,900,0.0,0.0
1996-12-13,3.866291999816895,3.866291999816895,3.866291999816895,3.8662919998168945,4500,0.0,0.0
1996-12-16,3.866291959694751,3.866291959694751,3.75582613922212,3.7779195308685303,35550,0.0,0.0
1996-12-17,3.7779184876993157,3.8000118732452397,3.7779184876993157,3.8000118732452393,5400,0.0,0.0
1996-12-18,3.7558255195617676,3.7558255195617676,3.7558255195617676,3.7558255195617676,7200,0.0,0.0
1996-12-19,3.7337332301412043,3.7337332301412043,3.7116405963897705,3.7116405963897705,10800,0.0,0.0
1996-12-20,3.7116389595523107,3.7116389595523107,3.667452573776245,3.667452573776245,145800,0.0,0.0
1996-12-23,3.7116398813183986,3.7558255195617676,3.7116398813183986,3.7558255195617676,40050,0.0,0.0
1996-12-24,3.77791953086853,3.77791953086853,3.77791953086853,3.7779195308685303,54000,0.0,0.0
1996-12-26,3.7558255195617676,3.777918907563068,3.7337325108135446,3.7558255195617676,15300,0.0,0.0
1996-12-27,3.7558255195617676,3.7558255195617676,3.7337325108135446,3.7558255195617676,26550,0.0,0.0
1996-12-30,3.7337315835608695,3.7337315835608695,3.667452573776245,3.667452573776245,194850,0.0,0.0
1996-12-31,3.6674541911274527,3.7116405963897705,3.645360798869719,3.7116405963897705,230400,0.0,0.0
1997-01-02,3.7116405963897705,3.7116405963897705,3.7116405963897705,3.7116405963897705,72000,0.0,0.0
1997-01-03,3.711639775848373,3.711639775848373,3.645359992980957,3.645359992980957,33300,0.0,0.0
1997-01-06,3.645359992980957,3.645359992980957,3.645359992980957,3.645359992980957,9000,0.0,0.0
1997-01-07,3.6453591912617207,3.667452573776245,3.6453591912617207,3.667452573776245,10350,0.0,0.0
1997-01-08,3.667452222382209,3.689545223526927,3.623266220092773,3.6232662200927734,279900,0.0,0.0
1997-01-09,3.6674528648125055,3.711639254095049,3.6674528648125055,3.6895458698272705,310050,0.0,0.0
1997-01-10,3.667452222382209,3.667452222382209,3.623266220092773,3.6232662200927734,6750,0.0,0.0
1997-01-13,3.6453611560560404,3.6453611560560404,3.5569887161254883,3.5569887161254883,37350,0.0,0.0
1997-01-14,3.5348947048187256,3.5348947048187256,3.4907086869317143,3.5348947048187256,11700,0.0,0.0
1997-01-15,3.5348947048187256,3.5348947048187256,3.5128020751283002,3.5348947048187256,82350,0.0,0.0
1997-01-16,3.5569887161254883,3.5569887161254883,3.5569887161254883,3.5569887161254883,4050,0.0,0.0
1997-01-17,3.5569887161254883,3.5569887161254883,3.5569887161254883,3.5569887161254883,20250,0.0,0.0
1997-01-20,3.5569887161254883,3.5569887161254883,3.5569887161254883,3.5569887161254883,4950,0.0,0.0
1997-01-21,3.5790798385503906,3.623266220092773,3.5790798385503906,3.6232662200927734,10350,0.0,0.0
1997-01-22,3.6232673641135955,3.667453380354451,3.601174355993168,3.645359992980957,31950,0.0,0.0
1997-01-23,3.667453380354451,3.667453380354451,3.645359992980957,3.645359992980957,28800,0.0,0.0
1997-01-24,3.667452222382209,3.667452222382209,3.623266220092773,3.6232662200927734,148500,0.0,0.0
