Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,1.9855856994806005,2.006634374463215,1.9645370244979856,1.9645370244979858,68040,0.0,0.0
1982-01-04,2.0136518958346965,2.041716816565351,1.9785709376273082,2.034700393676758,106560,0.0,0.0
1982-01-05,2.020666168993718,2.0557470932250843,1.9855852447623517,1.9926012754440308,240840,0.0,0.0
1982-01-06,1.9855859719745401,2.006634649845792,1.9575210681462043,1.978569746017456,239040,0.0,0.0
1982-01-07,1.971553327354559,1.9785697460174563,1.9645372941032884,1.978569746017456,162720,0.0,0.0
1982-01-08,1.9855852447623517,1.9996174988314526,1.9715526052817653,1.9926012754440308,210960,0.0,0.0
1982-01-11,1.9855867104932965,2.0066353961933925,1.9575217962265017,1.9575217962265015,218160,0.0,0.0
1982-01-12,1.950505707115921,1.957521936184262,1.9364732489792391,1.943489670753479,198360,0.0,0.0
1982-01-13,1.943489670753479,1.950505707115921,1.9364732489792391,1.943489670753479,465120,0.0,0.0
1982-01-14,1.9154242277145386,1.9294564892862744,1.8943755462981657,1.9154242277145386,288360,0.0,0.0
1982-01-15,1.9084082575368981,1.9154246790347729,1.9013922214508059,1.9013922214508057,408240,0.0,0.0
1982-01-18,1.8873601928596966,1.9013926536332113,1.8663115016994243,1.8733277320861816,623520,0.0,0.0
1982-01-19,1.8663110948280137,1.8943760102566574,1.8382463721052629,1.8452624082565308,420840,0.0,0.0
1982-01-20,1.8242128233150092,1.845261304591338,1.8031641493329027,1.8382452726364136,345960,0.0,0.0
1982-01-21,1.831229014066303,1.8382452385970838,1.817196757710516,1.8242127895355225,340200,0.0,0.0
1982-01-22,1.8171972022246676,1.8242132357659029,1.8101807832717898,1.8101807832717896,257760,0.0,0.0
1982-01-25,1.8242132357659029,1.8382456882600162,1.803164557024733,1.8101807832717896,269280,0.0,0.0
1982-01-26,1.7891326124653202,1.8171975223983283,1.761067702532312,1.768083930015564,187200,0.0,0.0
1982-01-27,1.7750999927520752,1.7821160268783152,1.761067539087921,1.7750999927520752,236880,0.0,0.0
1982-01-28,1.8592955972444136,1.9224414825439453,1.789133481055384,1.9224414825439453,448920,0.0,0.0
1982-01-29,1.9926031348039803,2.013651824607433,1.964538407771966,1.9996193647384644,432360,0.0,0.0
1982-02-01,1.9469971534861745,1.9785700792578107,1.9048997906534293,1.9154242277145386,315120,0.0,1.5
1982-02-02,1.9154242561218928,1.9259485006332395,1.8943755743933504,1.9259485006332397,206640,0.0,0.0
1982-02-03,1.9469974579340779,1.968045949935913,1.9259487732263665,1.968045949935913,153600,0.0,0.0
1982-02-04,1.9049001667287302,1.9469975378725575,1.8522787418577717,1.8943759202957153,201600,0.0,0.0
1982-02-05,1.9575210681462043,1.9890939886001755,1.915423905109514,1.978569746017456,310320,0.0,0.0
1982-02-08,2.0101419743038216,2.0838120324271068,1.9364717234747895,1.98909330368042,374400,0.0,0.0
1982-02-09,1.9890939707101285,2.041715568562069,1.9364723728581879,1.946996808052063,225840,0.0,0.0
1982-02-10,1.9890951161896995,2.020668054541917,1.946997929288717,1.9996193647384644,233520,0.0,0.0
1982-02-11,1.9996175426392473,2.0311904522214763,1.9575203940981911,1.98909330368042,239520,0.0,0.0
1982-02-12,2.031191186479177,2.0627641074747385,1.9890940227203677,2.041715621948242,180000,0.0,0.0
1982-02-16,2.0101425647735596,2.0311910488741054,1.98909388796721,2.0101425647735596,340800,0.0,0.0
1982-02-17,2.0522406101226807,2.07328929600026,2.0206676776592545,2.0522406101226807,212880,0.0,0.0
1982-02-18,2.0943365877873195,2.1259095021394185,2.0627636734352204,2.10486102104187,199440,0.0,0.0
1982-02-19,2.1364350587271685,2.1890564818450535,2.0838134429034065,2.1469593048095703,434880,0.0,0.0
1982-02-22,2.1364354351339707,2.1995813081654583,2.062765121459961,2.062765121459961,430320,0.0,0.0
1982-02-23,2.05224087352335,2.0943380579757047,2.010143689070995,2.062765121459961,280080,0.0,0.0
1982-02-24,2.0627636734352204,2.10486102104187,2.020666518534347,2.10486102104187,235200,0.0,0.0
1982-02-25,2.1259095021394185,2.1680068497460683,2.083812347238545,2.10486102104187,209040,0.0,0.0
1982-02-26,2.0838138100390937,2.1364354351339707,2.020667937007606,2.062765121459961,200400,0.0,0.0
1982-03-01,2.1153854235379144,2.146958340307137,2.0838125067686915,2.094336748123169,157920,0.0,0.0
1982-03-02,2.094337674890355,2.094337674890355,2.083813428878784,2.083813428878784,69600,0.0,0.0
1982-03-03,2.0627641074747385,2.083812785707052,2.031191186479177,2.041715621948242,171840,0.0,0.0
1982-03-04,1.9890951161896995,2.020668054541917,1.946997929288717,1.9996193647384644,269520,0.0,0.0
1982-03-05,1.946996808052063,1.9890939707101285,1.8943752102001223,1.946996808052063,148560,0.0,0.0
1982-03-08,1.8943761284006415,1.968046246936476,1.8101815695697558,1.8207060098648071,444240,0.0,0.0
1982-03-09,1.8838505457280195,1.9785692850209518,1.7891318064350872,1.936471939086914,366960,0.0,0.0
1982-03-10,1.9259488523006438,1.9469975378725575,1.8943759202957153,1.8943759202957153,103200,0.0,0.0
1982-03-11,1.8628031235936844,1.8943760578918825,1.8207059420980531,1.84175443649292,471600,0.0,0.0
1982-03-12,1.8101813188795912,1.8733271810812733,1.7470354566779094,1.757559895515442,321120,0.0,0.0
1982-03-15,1.7680834838807051,1.7891321610193156,1.7365105645256924,1.778607726097107,185280,0.0,0.0
1982-03-16,1.8101811129151508,1.8417540404235886,1.7786081854067128,1.799656867980957,317760,0.0,0.0
1982-03-17,1.75755940296553,1.8101808115827127,1.6944135584602513,1.7259864807128906,852720,0.0,0.0
1982-03-18,1.757559241664303,1.7786077260971072,1.7259863223092904,1.778607726097107,355680,0.0,0.0
1982-03-19,1.8522790915383667,1.8733275883780152,1.8207061535729736,1.8312304019927979,191280,0.0,0.0
1982-03-22,1.8838513019429024,1.9154242277145386,1.8417539391101572,1.9154242277145386,245520,0.0,0.0
1982-03-23,1.946997549729396,1.9680460427236073,1.9154246175321945,1.9575217962265015,362160,0.0,0.0
1982-03-24,2.0417164784286115,2.0838136598467827,1.999619104304543,2.020667791366577,270000,0.0,0.0
1982-03-25,2.020667791366577,2.0311920385446456,1.999619104304543,2.020667791366577,157440,0.0,0.0
1982-03-26,1.9890939886001755,2.0206669090541465,1.9575210681462043,1.978569746017456,435120,0.0,0.0
1982-03-29,1.959504854210571,1.970096707344055,1.94891280713328,1.9700967073440552,49200,0.0625,0.0
1982-03-30,1.9912803173065186,2.0124640204857576,1.9595045685938814,1.9912803173065186,134160,0.0,0.0
1982-03-31,2.012462954990573,2.0230549949160332,1.9912792630270049,2.001871109008789,150000,0.0,0.0
1982-04-01,1.9912803173065186,2.023056066019156,1.9489125230604833,1.9912803173065186,690000,0.0,0.0
1982-04-02,2.0548314447723843,2.1183829307556152,1.9912799587891532,2.1183829307556152,615840,0.0,0.0
1982-04-05,2.128975673155351,2.150159575347127,2.0971999168395996,2.0971999168395996,354000,0.0,0.0
1982-04-06,2.107790946960449,2.1289748408707614,2.0760152030668557,2.107790946960449,213600,0.0,0.0
1982-04-07,2.1289753913879395,2.150159290776051,2.1077914919998277,2.1289753913879395,215520,0.0,0.0
1982-04-08,2.1501597263243157,2.1607515811920166,2.1289758226450752,2.1607515811920166,288000,0.0,0.0
1982-04-12,2.1607511434982074,2.192526895608475,2.1289753913879395,2.1289753913879395,47040,0.0,0.0
1982-04-13,2.181935484871257,2.203119194606659,2.1501597263243157,2.1607515811920166,186240,0.0,0.0
1982-04-14,2.139566630120863,2.1501586737472307,2.1183829307556152,2.1183829307556152,187440,0.0,0.0
1982-04-15,2.1501597263243157,2.181935484871257,2.1183839677773744,2.1607515811920166,185040,0.0,0.0
1982-04-16,2.234894451445282,2.2772622492926757,2.181934995051733,2.2454864978790283,375600,0.0,0.0
1982-04-19,2.2243019481976867,2.2666695397059202,2.181934356689453,2.181934356689453,133920,0.0,0.0
1982-04-20,2.171342342791974,2.2031180853398746,2.139566600244073,2.150158643722534,219840,0.0,0.0
1982-04-21,2.139566630120863,2.1501586737472307,2.1183829307556152,2.1183829307556152,164640,0.0,0.0
1982-04-22,2.1395671367645264,2.150159182899062,2.128975284573781,2.1395671367645264,91920,0.0,0.0
1982-04-23,2.171341896057129,2.1925257847119077,2.1501582013460516,2.171341896057129,123360,0.0,0.0
1982-04-26,2.2031190610764564,2.2560787200927734,2.150159596003966,2.2560787200927734,235680,0.0,0.0
1982-04-27,2.26667020285893,2.2772622492926757,2.2454864978790283,2.2454864978790283,323040,0.0,0.0
1982-04-28,2.2454860817173996,2.256077932244336,2.224302186719768,2.234894037246704,112800,0.0,0.0
1982-04-29,2.1925265789031982,2.2031184300953863,2.1713426825750504,2.1925265789031982,110640,0.0,0.0
1982-04-30,2.1925265789031982,2.213710475231346,2.1713426825750504,2.1925265789031982,94320,0.0,0.0
1982-05-03,2.20311839587105,2.224302291870117,2.1713426488443344,2.224302291870117,171120,0.0,0.0
1982-05-04,2.224302398026684,2.2348942495598374,2.203118501016599,2.2137105464935303,104160,0.0,0.0
1982-05-05,2.2031184300953863,2.213710475231346,2.18193472771101,2.1925265789031982,318960,0.0,0.0
1982-05-06,2.213710475231346,2.2348941776157227,2.1925265789031982,2.1925265789031982,186240,0.0,0.0
1982-05-07,2.192526206080577,2.203118055471701,2.171342313354591,2.181934356689453,48000,0.0,0.0
1982-05-10,2.150158643722534,2.171342342791974,2.1289747507093533,2.150158643722534,70080,0.0,0.0
1982-05-11,2.1501597263243157,2.1607515811920166,2.139567677512776,2.1607515811920166,68880,0.0,0.0
1982-05-12,2.150159182899062,2.171342887280553,2.128975284573781,2.1395671367645264,141840,0.0,0.0
1982-05-13,2.139566600244073,2.160750493257254,2.118382901174633,2.150158643722534,83040,0.0,0.0
1982-05-14,2.139566630120863,2.1501586737472307,2.1183829307556152,2.1183829307556152,114240,0.0,0.0
1982-05-17,2.139566600244073,2.150158643722534,2.1289747507093533,2.150158643722534,55440,0.0,0.0
1982-05-18,2.11838299088748,2.1501587347810736,2.0760152030668557,2.107790946960449,106080,0.0,0.0
1982-05-19,2.1077917709635754,2.1183838190313757,2.0971999168395996,2.0971999168395996,40320,0.0,0.0
1982-05-20,2.0866084762534287,2.1077921886997073,2.0548327136401476,2.076016426086426,85200,0.0,0.0
1982-05-21,2.0866080627156243,2.0971999168395996,2.065424160523848,2.0971999168395996,257040,0.0,0.0
1982-05-24,2.076015204806087,2.0971990987341464,2.0442394608858727,2.0548315048217773,194640,0.0,0.0
1982-05-25,2.065424569863287,2.076016426086426,2.0548327136401476,2.076016426086426,90480,0.0,0.0
1982-05-26,2.054832523889824,2.0654243791348748,2.0336486194558767,2.0442404747009277,112080,0.0,0.0
1982-05-27,2.012465000152588,2.044240764333649,1.980689235971527,2.012465000152588,329040,0.0,0.0
1982-05-28,1.9912803173065186,2.0124640204857576,1.970096420183501,1.9912803173065186,173280,0.0,0.0
1982-06-01,1.948912595337535,1.9806883452286024,1.9171368454464677,1.9277288913726807,234720,0.0,0.0
1982-06-02,1.8959539102785408,1.9277296730544724,1.8641781475026091,1.917137622833252,661920,0.0,0.0
1982-06-03,1.9277288913726807,1.9383207433551077,1.9065449934640404,1.9277288913726807,122400,0.0,0.0
1982-06-04,1.9065460580220104,1.9383218256557104,1.8747702903883101,1.885362148284912,84480,0.0,0.0
1982-06-07,1.8641784258402259,1.8959541933605486,1.8324026583199033,1.8747702836990356,274080,0.0,0.0
1982-06-08,1.864177942276001,1.8747697973873034,1.853585893220855,1.864177942276001,132480,0.0,0.0
1982-06-09,1.864177942276001,1.885361652498606,1.8429940381095526,1.864177942276001,209040,0.0,0.0
1982-06-10,1.8747702903883101,1.885362148284912,1.853586380651212,1.885362148284912,211440,0.0,0.0
1982-06-11,2.001872967928648,2.04424058514162,1.9489133009545414,2.033648729324341,511440,0.0,0.0
1982-06-14,2.0230570508421906,2.03364890758792,2.0018731434068586,2.012465000152588,229440,0.0,0.0
1982-06-15,2.033647610893718,2.0548315048217773,2.0018718669735036,2.0548315048217773,102960,0.0,0.0
1982-06-16,2.033646840897817,2.054830726805062,2.001871109008789,2.001871109008789,246000,0.0,0.0
1982-06-17,1.9912792630270049,2.001871109008789,1.9806872231015447,2.001871109008789,225840,0.0,0.0
1982-06-18,1.9912803173065186,2.001872168896138,1.9806882717731205,1.9912803173065186,108000,0.0,0.0
1982-06-21,2.0230557918548584,2.05483153626125,1.9912800474484667,2.0230557918548584,124800,0.0,0.0
1982-06-22,2.0548315048217773,2.076015204806087,2.023055760901563,2.0548315048217773,59040,0.0,0.0
1982-06-23,2.023055760901563,2.0548315048217773,1.9912800169813485,2.0548315048217773,315840,0.0,0.0
1982-06-24,2.0866078656451563,2.107791571892404,2.0548321123304776,2.0654239654541016,269520,0.0,0.0
1982-06-25,2.0654239654541016,2.09719971876878,2.0336482121394233,2.0654239654541016,89280,0.0,0.0
1982-06-28,2.0760163600515056,2.1077921216540485,2.044240598448963,2.086608409881592,126960,0.0,0.0
1982-06-29,2.07808286340738,2.0887396335601807,2.067426093254579,2.0887396335601807,90960,0.0625,0.0
