Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-11-16,6.9125130990649275,7.835953766677027,6.834525510009023,6.956823825836182,97759000,0.0,0.0
2005-11-17,7.142929987598601,7.399933624829298,6.026293145079779,6.247848033905029,34308500,0.0,0.0
2005-11-18,6.416230467544405,6.549163507939023,6.125550765754854,6.203537940979004,12810000,0.0,0.0
2005-11-21,6.247846558528801,6.373689458876674,6.171631725196338,6.3630547523498535,6404000,0.0,0.0
2005-11-22,6.283296301864787,6.285068612374817,6.079465802827946,6.194674015045166,6533000,0.0,0.0
2005-11-23,6.1503618514323914,6.194672561865173,5.592043603837545,6.017428874969482,12421000,0.0,0.0
2005-11-25,5.981980896074074,6.106051492632556,5.964256525137148,6.052878379821777,1316000,0.0,0.0
2005-11-28,6.0085693107152585,6.0085693107152585,5.769290026189306,5.902222633361816,3155000,0.0,0.0
2005-11-29,5.90221991833396,5.935896343628315,5.542415212944438,5.666485786437988,4477500,0.0,0.0
2005-11-30,5.689529698023056,5.744475132101289,5.600907825679573,5.724978446960449,3894500,0.0,0.0
2005-12-01,5.724979333624365,6.23898669540657,5.698392556512447,6.203537940979004,5688500,0.0,0.0
2005-12-02,6.203536626015087,6.433953903535198,6.18581225255834,6.398504734039307,5120000,0.0,0.0
2005-12-05,6.412683723544846,6.637783197410991,6.412683723544846,6.524347305297852,4592500,0.0,0.0
2005-12-06,6.52434812126381,6.666143109784376,6.460540291913076,6.483582019805908,3202500,0.0,0.0
2005-12-07,6.495989561817765,6.495989561817765,6.1149152882100175,6.283297061920166,2473000,0.0,0.0
2005-12-08,6.3276080465597895,6.430409679258704,6.301021694277883,6.380781173706055,1823500,0.0,0.0
2005-12-09,6.380781922964961,6.462314145346255,6.341788545361734,6.41623067855835,808000,0.0,0.0
2005-12-12,6.460540771484375,6.469403170215973,6.389643271961312,6.460540771484375,953500,0.0,0.0
2005-12-13,6.4587671269493905,6.4587671269493905,6.2939304323410035,6.308109760284424,1843000,0.0,0.0
2005-12-14,6.292159827047921,6.327608581475488,6.168089186551437,6.203537940979004,1422000,0.0,0.0
2005-12-15,6.194674134921313,6.194674134921313,5.964257283445583,6.02629280090332,3273000,0.0,0.0
