Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.4939720910456313,0.4859401285648346,0.4859401285648346,1044000,0.0,0.0
1980-03-18,0.0,0.4869441092014313,0.4748957582455596,0.4869441092014313,855000,0.0,0.0
1980-03-19,0.0,0.499996725879915,0.49096061062274815,0.4979885518550873,1872000,0.0,0.0
1980-03-20,0.0,0.4999963528738742,0.4949759000134552,0.4959799647331238,720000,0.0,0.0
1980-03-21,0.0,0.4959801329541605,0.48995634581608954,0.49196451902389526,1170000,0.0,0.0
1980-03-24,0.0,0.48995636908597445,0.47389240454390913,0.4758998453617096,3375000,0.0,0.0
1980-03-25,0.0,0.4758999072411069,0.4658597288177201,0.4688720107078552,2466000,0.0,0.0
1980-03-26,0.0,0.46686375241067096,0.45983585715293884,0.45983585715293884,1368000,0.0,0.0
1980-03-27,0.0,0.4568237019486662,0.42469572255946636,0.4307195544242859,2439000,0.0,0.0
1980-03-28,0.0,0.449795812368393,0.4347359092958927,0.44979581236839294,720000,0.0,0.0
1980-03-31,0.0,0.4578280540006591,0.45080010997509495,0.4568239450454712,468000,0.0,0.0
1980-04-01,0.0,0.4728882312774658,0.4588317094874302,0.4728882312774658,882000,0.0,0.0
1980-04-02,0.0,0.5040125920673972,0.4748961439675115,0.49698469042778015,1998000,0.0,0.0
1980-04-03,0.0,0.49698439561672675,0.4899564981460572,0.48995649814605713,450000,0.0,0.0
1980-04-07,0.0,0.49196467197821436,0.48594015048174277,0.48995649814605713,1656000,0.0,0.0
1980-04-08,0.0,0.4929675757884979,0.4899560288665997,0.4929675757884979,495000,0.0,0.0
1980-04-09,0.0,0.5020038485527039,0.4939718469534705,0.5020038485527039,315000,0.0,0.0
1980-04-10,0.0,0.5110399723052979,0.5070243588415285,0.5110399723052979,288000,0.0,0.0
1980-04-11,0.0,0.5130482565217541,0.5120441913604736,0.5120441913604736,396000,0.0,0.0
1980-04-14,0.0,0.5100368600578026,0.5070246205846946,0.5080286860466003,216000,0.0,0.0
1980-04-15,0.0,0.5100368600578026,0.5080286860466003,0.5080286860466003,225000,0.0,0.0
1980-04-16,0.0,0.5140523647704122,0.5080285339386391,0.5120441913604736,954000,0.0,0.0
1980-04-17,0.0,0.5100367665290833,0.5090327012512993,0.5100367665290833,1431000,0.0,0.0
1980-04-18,0.0,0.5110399723052979,0.5090325318160438,0.5110399723052979,729000,0.0,0.0
1980-04-21,0.0,0.5150563340974841,0.5090325474739075,0.5090325474739075,882000,0.0,0.0
1980-04-22,0.0,0.5230882247824461,0.5140521589965695,0.52208411693573,2961000,0.0,0.0
1980-04-23,0.0,0.5311203908044966,0.5240924954414368,0.5240924954414368,648000,0.0,0.0
1980-04-24,0.0,0.5532086139109911,0.5250963132131758,0.5522045493125916,1845000,0.0,0.0
1980-04-25,0.0,0.5481883333965575,0.5381481590171594,0.5421645045280457,891000,0.0,0.0
1980-04-28,0.0,0.540156330635342,0.5271046080917581,0.5281087160110474,963000,0.0,0.0
1980-04-29,0.0,0.530116404321509,0.5250966810362127,0.5291123390197754,207000,0.0,0.0
1980-04-30,0.0,0.5261007035124682,0.5230884219244093,0.525096595287323,909000,0.0,0.0
1980-05-01,0.0,0.5281086778413058,0.52208411693573,0.52208411693573,837000,0.0,0.0
1980-05-02,0.0,0.5240923326291621,0.52208411693573,0.52208411693573,540000,0.0,0.0
1980-05-05,0.0,0.525096595287323,0.5230884219244093,0.525096595287323,126000,0.0,0.0
1980-05-06,0.0,0.5501966809503583,0.5291122606589687,0.5481885075569153,3519000,0.0,0.0
1980-05-07,0.0,0.5783089459677229,0.5481884590147389,0.5722851157188416,5814000,0.0,0.0
1980-05-08,0.0,0.6044135758496728,0.5783094141928325,0.586341381072998,4311000,0.0,0.0
1980-05-09,0.0,0.5883494380894236,0.5682690739631653,0.5682690739631653,2124000,0.0,0.0
1980-05-12,0.0,0.5823250217233903,0.564252893066408,0.5793127417564392,1161000,0.0,0.0
1980-05-13,0.0,0.58433287610468,0.546181108837513,0.5501967668533325,2151000,0.0,0.0
1980-05-14,0.0,0.5622444829882912,0.5441723188874048,0.5552165508270264,5652000,0.0,0.0
1980-05-15,0.0,0.5742926465007111,0.5562204648781937,0.5602368116378784,2259000,0.0,0.0
1980-05-16,0.0,0.5632491111755371,0.5582286560224773,0.5632491111755371,693000,0.0,0.0
1980-05-19,0.0,0.566260445393072,0.5582284440658448,0.5622448325157166,1485000,0.0,0.0
1980-05-20,0.0,0.5622448325157166,0.5562202713845901,0.5622448325157166,2304000,0.0,0.0
1980-05-21,0.0,0.5602366541746934,0.5501965225828249,0.5542128682136536,1683000,0.0,0.0
1980-05-22,0.0,0.558228636848562,0.5552170877281228,0.5572245717048645,612000,0.0,0.0
1980-05-23,0.0,0.570277077382913,0.5562205509469615,0.5672647953033447,1512000,0.0,0.0
1980-05-27,0.0,0.5702768106146412,0.5652563571929932,0.5652563571929932,1224000,0.0,0.0
1980-05-28,0.0,0.5742926597595215,0.5672647206221613,0.5742926597595215,1323000,0.0,0.0
1980-05-29,0.0,0.5742923528810854,0.5642529129981995,0.5642529129981995,2592000,0.0,0.0
1980-05-30,0.0,0.5682690739631653,0.5642534578643174,0.5682690739631653,828000,0.0,0.0
1980-06-02,0.0,0.5712811350822449,0.5682688532699557,0.5712811350822449,702000,0.0,0.0
1980-06-03,0.0,0.5863410474459522,0.5712811881317144,0.5803172588348389,1827000,0.0,0.0
1980-06-04,0.0,0.5853365692053327,0.5783086771590245,0.5793127417564392,2115000,0.0,0.0
1980-06-05,0.0,0.5843327270324338,0.5783089399337769,0.5783089399337769,918000,0.0,0.0
1980-06-06,0.0,0.5793127465753138,0.5752964019775391,0.5752964019775391,2043000,0.0,0.0
1980-06-09,0.0,0.5752964019775391,0.5752964019775391,0.5752964019775391,387000,0.0,0.0
1980-06-10,0.0,0.5783089399337769,0.5752966585980911,0.5783089399337769,612000,0.0,0.0
1980-06-11,0.0,0.5823250217233903,0.5783086771590245,0.5793127417564392,279000,0.0,0.0
1980-06-12,0.0,0.5823253548133687,0.5763008345207956,0.5773048996925354,639000,0.0,0.0
1980-06-13,0.0,0.5793130049874234,0.5783089399337769,0.5783089399337769,99000,0.0,0.0
1980-06-16,0.0,0.5853367529393748,0.5763006857745111,0.5843326449394226,585000,0.0,0.0
1980-06-17,0.0,0.5883492231369019,0.5813212835361641,0.5883492231369019,1125000,0.0,0.0
1980-06-18,0.0,0.6003973484039307,0.587344935206116,0.6003973484039307,909000,0.0,0.0
1980-06-19,0.0,0.6074253172762608,0.5953769683837891,0.5953769683837891,927000,0.0,0.0
