Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.11337497848839863,0.11132577973940459,0.11200909316539764,3527539,0.0,0.0
1980-03-18,0.0,0.11064289002189831,0.10927700397698921,0.10995995253324509,285466,0.0,0.0
1980-03-19,0.0,0.10791102158695935,0.10449592769145964,0.10449592769145966,149530,0.0,0.0
1980-03-20,0.0,0.10791104286909105,0.10449594830006906,0.10791104286909103,305856,0.0,0.0
1980-03-21,0.0,0.11405787616968155,0.1085939499316566,0.11405787616968155,190310,0.0,0.0
1980-03-24,0.0,0.11269200949888086,0.10859397798776625,0.10859397798776627,183514,0.0,0.0
1980-03-25,0.0,0.10791105037091293,0.10654516518115999,0.10654516518115997,163123,0.0,0.0
1980-03-26,0.0,0.10927697271108627,0.10791108705697908,0.10927697271108627,33984,0.0,0.0
1980-03-27,0.0,0.107911091423174,0.10176422389880102,0.10313010960817337,618509,0.0,0.0
1980-03-28,0.0,0.10449592769145964,0.10381299081254614,0.10449592769145966,47578,0.0,0.0
1980-03-31,0.0,0.1058621888150333,0.10313004286603987,0.10449592769145966,768038,0.0,0.0
1980-04-01,0.0,0.10381300349414051,0.10244710743427277,0.10244710743427277,95155,0.0,0.0
1980-04-02,0.0,0.10791104286909105,0.10381301128646724,0.10791104286909103,122342,0.0,0.0
1980-04-03,0.0,0.10927697271108627,0.10859402435023294,0.10927697271108627,203904,0.0,0.0
1980-04-07,0.0,0.10791102158695935,0.10449592769145964,0.10449592769145966,183514,0.0,0.0
1980-04-08,0.0,0.10381302982568741,0.10244713341936831,0.10381302982568741,190310,0.0,0.0
1980-04-09,0.0,0.10381302982568741,0.10244713341936831,0.10381302982568741,149530,0.0,0.0
1980-04-10,0.0,0.10859397798776625,0.10449594647665165,0.10859397798776627,421402,0.0,0.0
1980-04-11,0.0,0.11132581532001495,0.10722814697376803,0.11132581532001495,360230,0.0,0.0
1980-04-14,0.0,0.11269205761093673,0.10927697271108627,0.10927697271108627,1175846,0.0,0.0
1980-04-15,0.0,0.10791104286909105,0.10791104286909105,0.10791104286909103,6797,0.0,0.0
1980-04-16,0.0,0.10859397798776625,0.1072280929168019,0.10859397798776627,183514,0.0,0.0
1980-04-17,0.0,0.10859397798776625,0.10859397798776625,0.10859397798776627,20390,0.0,0.0
1980-04-18,0.0,0.10859397798776625,0.10859397798776625,0.10859397798776627,27187,0.0,0.0
1980-04-21,0.0,0.10859397798776625,0.1072280929168019,0.10859397798776627,135936,0.0,0.0
1980-04-22,0.0,0.1085939703738715,0.10517925240208079,0.10722808539867401,428198,0.0,0.0
1980-04-23,0.0,0.10859397798776625,0.10859397798776625,0.10859397798776627,448589,0.0,0.0
1980-04-24,0.0,0.10791105037091293,0.10654516518115999,0.10654516518115997,278669,0.0,0.0
1980-04-25,0.0,0.10791105037091293,0.10654516518115999,0.10654516518115997,13594,0.0,0.0
1980-04-28,0.0,0.10586217575080928,0.10449591479584296,0.10517922788858414,441792,0.0,0.0
1980-04-29,0.0,0.10791104286909105,0.10654515777429246,0.10791104286909103,54374,0.0,0.0
1980-04-30,0.0,0.10859397798776625,0.10859397798776625,0.10859397798776627,74765,0.0,0.0
1980-05-01,0.0,0.10859397798776625,0.1072280929168019,0.10859397798776627,67968,0.0,0.0
1980-05-02,0.0,0.10859397988269286,0.10722809478789429,0.10791104286909103,217498,0.0,0.0
1980-05-05,0.0,0.11064286530017853,0.10927697956045897,0.11064286530017853,367027,0.0,0.0
1980-05-06,0.0,0.11474089324474335,0.11132580829671046,0.11474089324474335,1243814,0.0,0.0
1980-05-07,0.0,0.116106778383255,0.11405794454412653,0.116106778383255,299059,0.0,0.0
1980-05-08,0.0,0.11678972141872748,0.11474088747783548,0.11542383581399918,863194,0.0,0.0
1980-05-09,0.0,0.11474090048349816,0.11132581532001495,0.11132581532001495,346637,0.0,0.0
1980-05-12,0.0,0.11200909316539764,0.11200909316539764,0.11200909316539764,27187,0.0,0.0
1980-05-13,0.0,0.11405798696646223,0.10995995253324509,0.10995995253324509,3228480,0.0,0.0
1980-05-14,0.0,0.11405787616968155,0.11269198038401247,0.11405787616968155,190310,0.0,0.0
